"PV_W1";"PV_W2";"PV_W3";"PV_W4";"PV_W5";"PV_W6";"PV_W7";"PV_W8";"PV_W9";"PV_W10";"PV_W11";"PV_W12";"PV_W13";"PV_W14";"PV_W15";"PV_W16";"PV_W17";"PV_W18";"PV_W19";"PV_W20";"PV_W21";"PV_W22";"PV_W23";"PV_W24";"PV_W25";"PV_W26";"PV_W27";"PV_W28";"PV_W29";"PV_W30";"PV_W31";"PV_W32";"PV_W33";"PV_W34";"PV_W35";"PV_W36";"PV_W37";"PV_W38";"PV_W39";"PV_W40";"PV_W41";"PV_W42";"PV_W43";"PV_W44";"PV_W45";"PV_W46";"PV_W47";"PV_W48";"PV_W49";"PV_W50";"PV_W51";"PV_W52";"PV_W53";"PV_W54";"PV_W55";"PV_W56";"PV_W57";"PV_W58";"PV_W59";"PV_W60";"PV_W61";"PV_W62";"PV_W63";"PV_W64";"PV_W65";"PV_W66";"PV_W67";"PV_W68";"PV_W69";"PV_W70";"PV_W71";"PV_W72";"PV_W73";"PV_W74";"PV_W75";"PV_W76";"PV_W77";"PV_W78";"PV_W79";"PV_W80";"PV_W81";"PV_W82";"PV_W83";"PV_W84";"PV_W85";"PV_W86";"PV_W87";"PV_W88";"PV_W89";"PV_W90";"PV_W91";"PV_W92";"PV_W93";"PV_W94";"PV_W95";"PV_W96";"PV_W97";"PV_W98";"PV_W99";"PV_W100";"PV_H1";"PV_H2";"PV_H3";"PV_H4";"PV_H5";"PV_H6";"PV_H7";"PV_H8";"PV_H9";"PV_H10";"PV_H11";"PV_H12";"PV_H13";"PV_H14";"PV_H15";"PV_H16";"PV_H17";"PV_H18";"PV_H19";"PV_H20"
96,6918333333333;193,486833333333;700,986333333333;587,718333333333;454,5125;631,489833333333;851,174833333333;603,626833333333;684,357;635,482166666667;849,0775;746,7325;850,424666666667;745,0885;755,706666666667;688,645;612,3935;504,226666666667;340,066166666667;263,574333333333;202,375666666667;166,977;403,916666666667;340,241;649,179666666667;708,6825;819,760333333333;856,866;745,517833333333;633,774833333333;649,432333333334;665,403833333333;703,733166666667;438,760333333333;198,212666666667;114,285;203,239666666667;302,421166666667;258,9865;129,021833333333;109,810166666667;152,215166666667;84,1248333333333;134,6795;183,520166666667;280,223333333333;223,922666666667;319,1935;316,099666666667;401,7295;422,6;468,983166666667;536,752666666667;301,783333333333;536,101666666667;649,429833333333;654,2835;507,839666666667;365,818666666667;280,739166666667;385,892666666667;406,789666666667;467,5825;380,776333333333;519,853833333333;493,7575;560,251833333333;629,770833333333;411,681;609,6635;679,056333333334;631,856833333333;602,424333333333;533,966166666667;385,516666666667;327,9905;398,096833333333;225,0285;246,515;297,455833333333;278,043;417,771833333333;342,662666666667;375,797833333333;460,9975;426,5515;195,413833333333;133,2605;288,854833333333;615,148;95,0895;142,531833333333;234,934666666667;396,294833333333;158,716;100,513166666667;187,186666666667;197,681333333333;131,180833333333;141,082333333333;167,492166666667;454,704666666667;560,018666666667;636,627;781,692166666667;630,583666666667;796,624833333333;829,251666666667;914,143833333333;912,812666666667;826,428833333333;748,059166666667;816,386666666667;713,526666666667;780,726833333333;695,429666666666;621,1885;522,770166666667;415,227666666667;304,259333333333
202,375666666667;166,977;403,916666666667;340,241;649,179666666667;708,6825;819,760333333333;856,866;745,517833333333;633,774833333333;649,432333333334;665,403833333333;703,733166666667;438,760333333333;198,212666666667;114,285;203,239666666667;302,421166666667;258,9865;129,021833333333;109,810166666667;152,215166666667;84,1248333333333;134,6795;183,520166666667;280,223333333333;223,922666666667;319,1935;316,099666666667;401,7295;422,6;468,983166666667;536,752666666667;301,783333333333;536,101666666667;649,429833333333;654,2835;507,839666666667;365,818666666667;280,739166666667;385,892666666667;406,789666666667;467,5825;380,776333333333;519,853833333333;493,7575;560,251833333333;629,770833333333;411,681;609,6635;679,056333333334;631,856833333333;602,424333333333;533,966166666667;385,516666666667;327,9905;398,096833333333;225,0285;246,515;297,455833333333;278,043;417,771833333333;342,662666666667;375,797833333333;460,9975;426,5515;195,413833333333;133,2605;288,854833333333;615,148;95,0895;142,531833333333;234,934666666667;396,294833333333;158,716;100,513166666667;187,186666666667;197,681333333333;131,180833333333;141,082333333333;167,492166666667;454,704666666667;560,018666666667;636,627;781,692166666667;630,583666666667;796,624833333333;829,251666666667;914,143833333333;912,812666666667;826,428833333333;748,059166666667;816,386666666667;713,526666666667;780,726833333333;695,429666666666;621,1885;522,770166666667;415,227666666667;304,259333333333;414,417;490,0315;466,722333333333;437,4285;389,3745;556,035833333333;570,804;409,4425;272,270666666667;327,532166666667;332,468166666667;341,6685;347,855;467,818833333333;276,44;235,370166666667;167,379;166,1115;103,555333333333;177,542166666667
109,810166666667;152,215166666667;84,1248333333333;134,6795;183,520166666667;280,223333333333;223,922666666667;319,1935;316,099666666667;401,7295;422,6;468,983166666667;536,752666666667;301,783333333333;536,101666666667;649,429833333333;654,2835;507,839666666667;365,818666666667;280,739166666667;385,892666666667;406,789666666667;467,5825;380,776333333333;519,853833333333;493,7575;560,251833333333;629,770833333333;411,681;609,6635;679,056333333334;631,856833333333;602,424333333333;533,966166666667;385,516666666667;327,9905;398,096833333333;225,0285;246,515;297,455833333333;278,043;417,771833333333;342,662666666667;375,797833333333;460,9975;426,5515;195,413833333333;133,2605;288,854833333333;615,148;95,0895;142,531833333333;234,934666666667;396,294833333333;158,716;100,513166666667;187,186666666667;197,681333333333;131,180833333333;141,082333333333;167,492166666667;454,704666666667;560,018666666667;636,627;781,692166666667;630,583666666667;796,624833333333;829,251666666667;914,143833333333;912,812666666667;826,428833333333;748,059166666667;816,386666666667;713,526666666667;780,726833333333;695,429666666666;621,1885;522,770166666667;415,227666666667;304,259333333333;414,417;490,0315;466,722333333333;437,4285;389,3745;556,035833333333;570,804;409,4425;272,270666666667;327,532166666667;332,468166666667;341,6685;347,855;467,818833333333;276,44;235,370166666667;167,379;166,1115;103,555333333333;177,542166666667;323,072166666667;280,769666666667;442,512666666667;469,975166666667;410,835833333333;434,699;747,901333333333;434,044333333333;494,024666666667;422,572;597,889;600,828166666667;812,882166666667;446,802333333333;412,2045;289,1475;139,175;144,717333333333;167,976166666667;110,3345
385,892666666667;406,789666666667;467,5825;380,776333333333;519,853833333333;493,7575;560,251833333333;629,770833333333;411,681;609,6635;679,056333333334;631,856833333333;602,424333333333;533,966166666667;385,516666666667;327,9905;398,096833333333;225,0285;246,515;297,455833333333;278,043;417,771833333333;342,662666666667;375,797833333333;460,9975;426,5515;195,413833333333;133,2605;288,854833333333;615,148;95,0895;142,531833333333;234,934666666667;396,294833333333;158,716;100,513166666667;187,186666666667;197,681333333333;131,180833333333;141,082333333333;167,492166666667;454,704666666667;560,018666666667;636,627;781,692166666667;630,583666666667;796,624833333333;829,251666666667;914,143833333333;912,812666666667;826,428833333333;748,059166666667;816,386666666667;713,526666666667;780,726833333333;695,429666666666;621,1885;522,770166666667;415,227666666667;304,259333333333;414,417;490,0315;466,722333333333;437,4285;389,3745;556,035833333333;570,804;409,4425;272,270666666667;327,532166666667;332,468166666667;341,6685;347,855;467,818833333333;276,44;235,370166666667;167,379;166,1115;103,555333333333;177,542166666667;323,072166666667;280,769666666667;442,512666666667;469,975166666667;410,835833333333;434,699;747,901333333333;434,044333333333;494,024666666667;422,572;597,889;600,828166666667;812,882166666667;446,802333333333;412,2045;289,1475;139,175;144,717333333333;167,976166666667;110,3345;199,173333333333;247,755333333333;437,963833333333;550,343333333333;457,489666666667;498,714666666667;668,316666666667;842,926166666667;654,226666666667;559,875166666667;705,4235;554,526166666667;609,633833333333;587,197333333333;641,316166666667;515,2735;591,737833333333;518,200166666667;295,981333333333;256,056166666667
278,043;417,771833333333;342,662666666667;375,797833333333;460,9975;426,5515;195,413833333333;133,2605;288,854833333333;615,148;95,0895;142,531833333333;234,934666666667;396,294833333333;158,716;100,513166666667;187,186666666667;197,681333333333;131,180833333333;141,082333333333;167,492166666667;454,704666666667;560,018666666667;636,627;781,692166666667;630,583666666667;796,624833333333;829,251666666667;914,143833333333;912,812666666667;826,428833333333;748,059166666667;816,386666666667;713,526666666667;780,726833333333;695,429666666666;621,1885;522,770166666667;415,227666666667;304,259333333333;414,417;490,0315;466,722333333333;437,4285;389,3745;556,035833333333;570,804;409,4425;272,270666666667;327,532166666667;332,468166666667;341,6685;347,855;467,818833333333;276,44;235,370166666667;167,379;166,1115;103,555333333333;177,542166666667;323,072166666667;280,769666666667;442,512666666667;469,975166666667;410,835833333333;434,699;747,901333333333;434,044333333333;494,024666666667;422,572;597,889;600,828166666667;812,882166666667;446,802333333333;412,2045;289,1475;139,175;144,717333333333;167,976166666667;110,3345;199,173333333333;247,755333333333;437,963833333333;550,343333333333;457,489666666667;498,714666666667;668,316666666667;842,926166666667;654,226666666667;559,875166666667;705,4235;554,526166666667;609,633833333333;587,197333333333;641,316166666667;515,2735;591,737833333333;518,200166666667;295,981333333333;256,056166666667;95,63;273,288833333333;481,9855;397,979666666667;625,239333333333;805,043833333333;854,358666666667;817,234166666667;871,718666666667;877,403333333333;890,662333333333;861,379333333334;847,916166666666;819,167833333333;735,46;609,780833333333;585,137833333333;469,5845;376,084;282,990166666667
167,492166666667;454,704666666667;560,018666666667;636,627;781,692166666667;630,583666666667;796,624833333333;829,251666666667;914,143833333333;912,812666666667;826,428833333333;748,059166666667;816,386666666667;713,526666666667;780,726833333333;695,429666666666;621,1885;522,770166666667;415,227666666667;304,259333333333;414,417;490,0315;466,722333333333;437,4285;389,3745;556,035833333333;570,804;409,4425;272,270666666667;327,532166666667;332,468166666667;341,6685;347,855;467,818833333333;276,44;235,370166666667;167,379;166,1115;103,555333333333;177,542166666667;323,072166666667;280,769666666667;442,512666666667;469,975166666667;410,835833333333;434,699;747,901333333333;434,044333333333;494,024666666667;422,572;597,889;600,828166666667;812,882166666667;446,802333333333;412,2045;289,1475;139,175;144,717333333333;167,976166666667;110,3345;199,173333333333;247,755333333333;437,963833333333;550,343333333333;457,489666666667;498,714666666667;668,316666666667;842,926166666667;654,226666666667;559,875166666667;705,4235;554,526166666667;609,633833333333;587,197333333333;641,316166666667;515,2735;591,737833333333;518,200166666667;295,981333333333;256,056166666667;95,63;273,288833333333;481,9855;397,979666666667;625,239333333333;805,043833333333;854,358666666667;817,234166666667;871,718666666667;877,403333333333;890,662333333333;861,379333333334;847,916166666666;819,167833333333;735,46;609,780833333333;585,137833333333;469,5845;376,084;282,990166666667;295,784833333333;204,206166666667;229,654;365,514166666667;373,8155;314,651;290,971833333333;353,180833333333;505,324333333333;478,551166666667;242,863166666667;149,964333333333;243,260833333333;187,565833333333;296,47;229,331166666667;254,500166666667;171,461166666667;196,146666666667;115,7215
414,417;490,0315;466,722333333333;437,4285;389,3745;556,035833333333;570,804;409,4425;272,270666666667;327,532166666667;332,468166666667;341,6685;347,855;467,818833333333;276,44;235,370166666667;167,379;166,1115;103,555333333333;177,542166666667;323,072166666667;280,769666666667;442,512666666667;469,975166666667;410,835833333333;434,699;747,901333333333;434,044333333333;494,024666666667;422,572;597,889;600,828166666667;812,882166666667;446,802333333333;412,2045;289,1475;139,175;144,717333333333;167,976166666667;110,3345;199,173333333333;247,755333333333;437,963833333333;550,343333333333;457,489666666667;498,714666666667;668,316666666667;842,926166666667;654,226666666667;559,875166666667;705,4235;554,526166666667;609,633833333333;587,197333333333;641,316166666667;515,2735;591,737833333333;518,200166666667;295,981333333333;256,056166666667;95,63;273,288833333333;481,9855;397,979666666667;625,239333333333;805,043833333333;854,358666666667;817,234166666667;871,718666666667;877,403333333333;890,662333333333;861,379333333334;847,916166666666;819,167833333333;735,46;609,780833333333;585,137833333333;469,5845;376,084;282,990166666667;295,784833333333;204,206166666667;229,654;365,514166666667;373,8155;314,651;290,971833333333;353,180833333333;505,324333333333;478,551166666667;242,863166666667;149,964333333333;243,260833333333;187,565833333333;296,47;229,331166666667;254,500166666667;171,461166666667;196,146666666667;115,7215;137,561666666667;165,468;261,0385;251,8635;219,365833333333;371,835333333333;485,8805;837,421666666667;487,3245;195,2405;260,557;669,221;538,314833333333;313,071;37,5873333333333;48,4745;61,9725;136,798333333333;151,306833333333;120,5755
323,072166666667;280,769666666667;442,512666666667;469,975166666667;410,835833333333;434,699;747,901333333333;434,044333333333;494,024666666667;422,572;597,889;600,828166666667;812,882166666667;446,802333333333;412,2045;289,1475;139,175;144,717333333333;167,976166666667;110,3345;199,173333333333;247,755333333333;437,963833333333;550,343333333333;457,489666666667;498,714666666667;668,316666666667;842,926166666667;654,226666666667;559,875166666667;705,4235;554,526166666667;609,633833333333;587,197333333333;641,316166666667;515,2735;591,737833333333;518,200166666667;295,981333333333;256,056166666667;95,63;273,288833333333;481,9855;397,979666666667;625,239333333333;805,043833333333;854,358666666667;817,234166666667;871,718666666667;877,403333333333;890,662333333333;861,379333333334;847,916166666666;819,167833333333;735,46;609,780833333333;585,137833333333;469,5845;376,084;282,990166666667;295,784833333333;204,206166666667;229,654;365,514166666667;373,8155;314,651;290,971833333333;353,180833333333;505,324333333333;478,551166666667;242,863166666667;149,964333333333;243,260833333333;187,565833333333;296,47;229,331166666667;254,500166666667;171,461166666667;196,146666666667;115,7215;137,561666666667;165,468;261,0385;251,8635;219,365833333333;371,835333333333;485,8805;837,421666666667;487,3245;195,2405;260,557;669,221;538,314833333333;313,071;37,5873333333333;48,4745;61,9725;136,798333333333;151,306833333333;120,5755;207,005166666667;293,086666666667;360,683166666667;312,2025;478,145;427,500833333333;326,989666666667;482,787166666667;164,8555;104,495166666667;108,329333333333;226,565333333333;235,350833333333;342,753;463,038333333333;214,4635;151,147;141,929333333333;191,7505;218,587833333333
199,173333333333;247,755333333333;437,963833333333;550,343333333333;457,489666666667;498,714666666667;668,316666666667;842,926166666667;654,226666666667;559,875166666667;705,4235;554,526166666667;609,633833333333;587,197333333333;641,316166666667;515,2735;591,737833333333;518,200166666667;295,981333333333;256,056166666667;95,63;273,288833333333;481,9855;397,979666666667;625,239333333333;805,043833333333;854,358666666667;817,234166666667;871,718666666667;877,403333333333;890,662333333333;861,379333333334;847,916166666666;819,167833333333;735,46;609,780833333333;585,137833333333;469,5845;376,084;282,990166666667;295,784833333333;204,206166666667;229,654;365,514166666667;373,8155;314,651;290,971833333333;353,180833333333;505,324333333333;478,551166666667;242,863166666667;149,964333333333;243,260833333333;187,565833333333;296,47;229,331166666667;254,500166666667;171,461166666667;196,146666666667;115,7215;137,561666666667;165,468;261,0385;251,8635;219,365833333333;371,835333333333;485,8805;837,421666666667;487,3245;195,2405;260,557;669,221;538,314833333333;313,071;37,5873333333333;48,4745;61,9725;136,798333333333;151,306833333333;120,5755;207,005166666667;293,086666666667;360,683166666667;312,2025;478,145;427,500833333333;326,989666666667;482,787166666667;164,8555;104,495166666667;108,329333333333;226,565333333333;235,350833333333;342,753;463,038333333333;214,4635;151,147;141,929333333333;191,7505;218,587833333333;85,602;163,4165;267,354833333333;244,321333333333;398,018833333333;603,365166666667;587,507333333333;530,087166666667;580,105;709,091166666667;517,220333333333;414,132833333333;489,532166666667;324,906666666667;479,853333333333;431,3515;131,757666666667;192,780166666667;84,8508333333333;129,605833333333
95,63;273,288833333333;481,9855;397,979666666667;625,239333333333;805,043833333333;854,358666666667;817,234166666667;871,718666666667;877,403333333333;890,662333333333;861,379333333334;847,916166666666;819,167833333333;735,46;609,780833333333;585,137833333333;469,5845;376,084;282,990166666667;295,784833333333;204,206166666667;229,654;365,514166666667;373,8155;314,651;290,971833333333;353,180833333333;505,324333333333;478,551166666667;242,863166666667;149,964333333333;243,260833333333;187,565833333333;296,47;229,331166666667;254,500166666667;171,461166666667;196,146666666667;115,7215;137,561666666667;165,468;261,0385;251,8635;219,365833333333;371,835333333333;485,8805;837,421666666667;487,3245;195,2405;260,557;669,221;538,314833333333;313,071;37,5873333333333;48,4745;61,9725;136,798333333333;151,306833333333;120,5755;207,005166666667;293,086666666667;360,683166666667;312,2025;478,145;427,500833333333;326,989666666667;482,787166666667;164,8555;104,495166666667;108,329333333333;226,565333333333;235,350833333333;342,753;463,038333333333;214,4635;151,147;141,929333333333;191,7505;218,587833333333;85,602;163,4165;267,354833333333;244,321333333333;398,018833333333;603,365166666667;587,507333333333;530,087166666667;580,105;709,091166666667;517,220333333333;414,132833333333;489,532166666667;324,906666666667;479,853333333333;431,3515;131,757666666667;192,780166666667;84,8508333333333;129,605833333333;147,180833333333;392,1275;430,035166666667;637,361666666667;564,656333333333;820,401;798,923333333333;812,0065;840,630666666667;852,883333333333;822,961833333333;787,553166666667;812,332166666667;782,231666666667;656,760166666667;688,1575;614,242;504,0025;396,588166666667;290,2995
